i;x;y;q
0;36;64;0
1;94;47;3
2;10;23;12
3;16;46;25
4;25;79;4
5;41;30;11
6;81;45;20
7;14;79;21
8;42;56;10
9;90;17;20
10;41;39;13
11;21;14;14
12;41;46;16
13;65;96;17
14;13;49;11
15;21;14;36
16;57;2;6
17;14;42;7
18;66;62;21
19;58;96;11
20;5;51;17
21;41;50;22
22;50;99;10
23;84;85;19
24;97;90;21
25;47;76;23
26;11;54;19
27;60;97;15
28;60;89;22
29;58;68;7
30;30;93;11
31;9;60;15
32;47;44;22
33;19;40;12
34;15;40;24
35;88;21;25
36;33;58;2
37;21;51;15
38;57;7;18
39;81;6;13
40;49;6;3
41;51;78;20
42;9;62;14
43;84;36;10
44;95;76;10
45;89;44;66
46;10;49;10
47;69;16;7
48;75;66;12
49;97;11;24
50;74;69;5
51;1;14;18
52;96;91;7
53;46;22;11
54;74;92;12
