i;x;y;q
0;40;50;0
1;45;68;5
2;45;70;15
3;42;66;5
4;42;68;5
5;42;65;5
6;40;69;10
7;40;66;10
8;38;68;10
9;38;70;5
10;35;66;5
11;35;69;5
12;25;85;10
13;22;75;15
14;22;85;5
15;20;80;20
16;20;85;20
17;18;75;10
18;15;75;10
19;15;80;5
20;30;50;5
21;30;52;10
22;28;52;10
23;28;55;5
24;25;50;5
25;25;52;20
26;25;55;5
27;23;52;5
28;23;55;10
29;20;50;5
30;20;55;5
31;10;35;10
32;10;40;15
33;8;40;20
34;8;45;10
35;5;35;5
36;5;45;5
37;2;40;10
38;0;40;15
39;0;45;10
40;35;30;5
41;35;32;5
42;33;32;10
43;33;35;5
44;32;30;5
45;30;30;5
46;30;32;15
47;30;35;5
48;28;30;5
49;28;35;5
50;26;32;5
51;25;30;5
52;25;35;5
53;44;5;10
54;42;10;20
55;42;15;5
56;40;5;15
57;40;15;20
58;38;5;15
59;38;15;5
60;35;5;10
61;50;30;5
62;50;35;10
63;50;40;25
64;48;30;5
65;48;40;5
66;47;35;5
67;47;40;5
68;45;30;5
69;45;35;5
70;95;30;15
71;95;35;10
72;53;30;5
73;92;30;5
74;53;35;25
75;45;65;10
76;90;35;5
77;88;30;5
78;88;35;10
79;87;30;5
80;85;25;5
81;85;35;15
82;75;55;10
83;72;55;5
84;70;58;10
85;68;60;15
86;66;55;5
87;65;55;10
88;65;60;15
89;63;58;5
90;60;55;5
91;60;60;5
92;67;85;10
93;65;85;20
94;65;82;5
95;62;80;15
96;60;80;5
97;60;85;15
98;58;75;10
99;55;80;5
100;55;85;10
