Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205.txt;32;3063,28;5;Recuit simule;1036,59;5;10000;473;2026,68;0,5;250
A3305.txt;33;2255,19;5;Recuit simule;702,43;5;10000;494;1552,76;0,5;250
A3306.txt;33;2756,2;6;Recuit simule;953,68;6;10000;453;1802,52;0,5;250
A3405.txt;34;2395,94;5;Recuit simule;961,52;5;10000;493;1434,42;0,5;250
A3605.txt;36;2224,29;5;Recuit simule;915,93;5;10000;429;1308,36;0,5;250
A3705.txt;37;2996,7;5;Recuit simule;1008,13;5;10000;442;1988,57;0,5;250
A3706.txt;37;3058,07;6;Recuit simule;1084,13;6;10000;547;1973,95;0,5;250
A3805.txt;38;3147,99;5;Recuit simule;1049,05;5;10000;565;2098,94;0,5;250
A3905.txt;39;3287,48;5;Recuit simule;1023,02;5;10000;470;2264,46;0,5;250
A3906.txt;39;2750,42;6;Recuit simule;874,44;6;10000;452;1875,98;0,5;250
A4406.txt;44;3052,69;6;Recuit simule;1014,71;6;10000;510;2037,97;0,5;250
A4506.txt;45;3762,84;6;Recuit simule;1078,46;6;10000;554;2684,38;0,5;250
A4507.txt;45;3044,97;7;Recuit simule;1086,45;7;10000;529;1958,52;0,5;250
A4607.txt;46;3075,47;7;Recuit simule;952,06;7;10000;535;2123,41;0,5;250
A5307.txt;53;3380,28;7;Recuit simule;1150,77;7;10000;608;2229,5;0,5;250
A5407.txt;54;4340,13;7;Recuit simule;1561,85;7;10000;615;2778,28;0,5;250
A5509.txt;55;4276,63;9;Recuit simule;1452,78;9;10000;634;2823,85;0,5;250
A6009.txt;60;4056,07;9;Recuit simule;1322,51;9;10000;879;2733,56;0,5;250
A6109.txt;61;4686,73;9;Recuit simule;1598,4;9;10000;715;3088,33;0,5;250
A6208.txt;62;5806,59;8;Recuit simule;1593,63;8;10000;683;4212,96;0,5;250
A6310.txt;63;5415,21;10;Recuit simule;1492,33;10;10000;828;3922,87;0,5;250
A6409.txt;64;5350,26;9;Recuit simule;1551,59;9;10000;751;3798,66;0,5;250
A6509.txt;65;4955,3;9;Recuit simule;1551,73;9;10000;873;3403,57;0,5;250
A6909.txt;69;6262,47;9;Recuit simule;1682,66;9;10000;815;4579,8;0,5;250
A8010.txt;80;6460,97;10;Recuit simule;1823,5;10;10000;1117;4637,47;0,5;250
c101.txt;101;4960,42;10;Recuit simule;1080,3;10;10000;1080;3880,12;0,5;250
c201.txt;101;7454,7;10;Recuit simule;1560,17;10;10000;1024;5894,53;0,5;250
r101.txt;101;5476,67;8;Recuit simule;1012,4;8;10000;953;4464,27;0,5;250
