Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amélioration fitness;Variation (µ);Température
A3205.txt;32;2739.73;5;Recuit simule;954.16;5;10000;2898;1785.57;0.9;250
A3305.txt;33;2182.05;5;Recuit simule;843.66;5;10000;2756;1338.39;0.9;250
A3306.txt;33;2967.23;6;Recuit simule;1125.65;6;10000;2940;1841.58;0.9;250
A3405.txt;34;3140.27;5;Recuit simule;1091.97;5;10000;2941;2048.3;0.9;250
A3605.txt;36;3243.1;5;Recuit simule;938.79;5;10000;2992;2304.32;0.9;250
A3705.txt;37;2110.67;5;Recuit simule;821.98;5;10000;3299;1288.69;0.9;250
A3706.txt;37;3351.3;6;Recuit simule;1074.79;6;10000;3634;2276.51;0.9;250
A3805.txt;38;3360.0;5;Recuit simule;894.2;5;10000;3407;2465.8;0.9;250
A3905.txt;39;2792.33;5;Recuit simule;868.5;5;10000;3303;1923.83;0.9;250
A3906.txt;39;3346.83;6;Recuit simule;996.72;6;10000;3390;2350.1;0.9;250
A4406.txt;44;4293.14;6;Recuit simule;1224.5;6;10000;3594;3068.64;0.9;250
A4506.txt;45;3818.18;6;Recuit simule;1053.61;6;10000;3726;2764.58;0.9;250
A4507.txt;45;3467.68;7;Recuit simule;984.71;7;10000;3887;2482.97;0.9;250
A4607.txt;46;3716.94;7;Recuit simule;1048.33;7;10000;3802;2668.61;0.9;250
A5307.txt;53;4059.81;7;Recuit simule;1052.04;7;10000;4151;3007.76;0.9;250
A5407.txt;54;3760.14;7;Recuit simule;1273.33;7;10000;4234;2486.81;0.9;250
A5509.txt;55;3613.56;9;Recuit simule;1406.54;9;10000;4520;2207.02;0.9;250
A6009.txt;60;4137.32;9;Recuit simule;1390.97;9;10000;4928;2746.35;0.9;250
A6109.txt;61;4173.13;9;Recuit simule;1409.48;9;10000;5292;2763.64;0.9;250
A6208.txt;62;4194.84;8;Recuit simule;1132.77;8;10000;5283;3062.07;0.9;250
A6310.txt;63;4979.18;10;Recuit simule;1582.35;10;10000;5936;3396.83;0.9;250
A6409.txt;64;5555.28;9;Recuit simule;1512.5;9;10000;5889;4042.78;0.9;250
A6509.txt;65;4642.42;9;Recuit simule;1426.0;9;10000;5432;3216.42;0.9;250
A6909.txt;69;4810.86;9;Recuit simule;1389.51;9;10000;6157;3421.35;0.9;250
A8010.txt;80;5221.66;10;Recuit simule;1509.23;10;10000;7039;3712.42;0.9;250
c101.txt;101;5435.54;10;Recuit simule;1162.68;10;10000;7324;4272.86;0.9;250
c201.txt;101;6787.18;10;Recuit simule;1312.04;10;10000;6798;5475.14;0.9;250
r101.txt;101;4686.54;8;Recuit simule;956.0;8;10000;6648;3730.53;0.9;250
