Nom fichier,Nb clients,Fitness de base,Nb vehicules min,Metaheuristique,Fitness resultat,Vehicules resultat,Nombre iterations,Temps d'execution,Amelioration fitness,Taille liste tabou
A3205.txt,32,2586.25,5,Tabou,854.73,5,1000,1306,1731.52,1
A3305.txt,33,3074.9,5,Tabou,1027.18,5,1000,1054,2047.71,1
A3306.txt,33,1831.65,6,Tabou,778.94,6,1000,1145,1052.71,1
A3405.txt,34,2467.04,5,Tabou,952.31,5,1000,1290,1514.73,1
A3605.txt,36,2514.64,5,Tabou,941.14,5,1000,1782,1573.5,1
A3705.txt,37,2313.33,5,Tabou,761.11,5,1000,1469,1552.21,1
A3706.txt,37,2347.37,6,Tabou,893.35,6,1000,1695,1454.02,1
A3805.txt,38,2320.31,5,Tabou,770.75,5,1000,1679,1549.57,1
A3905.txt,39,3366.52,5,Tabou,952.56,5,1000,1574,2413.96,1
A3906.txt,39,2840.79,6,Tabou,981.63,6,1000,1693,1859.16,1
A4406.txt,44,4621.06,6,Tabou,1305.12,6,1000,1703,3315.94,1
A4506.txt,45,4324.26,6,Tabou,1212.88,6,1000,2149,3111.38,1
A4507.txt,45,3384.6,7,Tabou,928.84,7,1000,2591,2455.75,1
A4607.txt,46,2838.02,7,Tabou,1007.33,7,1000,2139,1830.69,1
A5307.txt,53,4148.6,7,Tabou,1325.16,7,1000,3682,2823.43,1
A5407.txt,54,5468.99,7,Tabou,1476.31,7,1000,2656,3992.68,1
A5509.txt,55,4234.76,9,Tabou,1640.87,9,1000,2640,2593.88,1
A6009.txt,60,5007.89,9,Tabou,1498.78,9,1000,4393,3509.11,1
A6109.txt,61,4831.04,9,Tabou,1454.91,9,1000,4364,3376.13,1
A6208.txt,62,4460.62,8,Tabou,1325.46,8,1000,3973,3135.16,1
A6310.txt,63,5063.62,10,Tabou,1726.99,10,1000,4813,3336.63,1
A6409.txt,64,4432.95,9,Tabou,1350.43,9,1000,4350,3082.51,1
A6509.txt,65,4169.32,9,Tabou,1372.11,9,1000,4697,2797.21,1
A6909.txt,69,5864.97,9,Tabou,1793.99,9,1000,5332,4070.98,1
A8010.txt,80,6113.25,10,Tabou,1935.03,10,1000,7925,4178.22,1
c101.txt,101,5044.08,10,Tabou,1175.87,10,1000,17804,3868.21,1
c201.txt,101,5252.56,10,Tabou,1107.22,10,1000,14680,4145.34,1
r101.txt,101,4880.96,8,Tabou,1008.38,8,1000,23150,3872.57,1
