Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Variation (µ);Température
A3205,txt;32;3114,65;5;Recuit simule;893,22;5;10000;771;2221,43;0.7;50
A3305,txt;33;2239,73;5;Recuit simule;857,97;5;10000;803;1381,76;0.7;50
A3306,txt;33;1968,99;6;Recuit simule;842,9;6;10000;845;1126,09;0.7;50
A3405,txt;34;2628,35;5;Recuit simule;1013,94;6;10000;839;1614,4;0.7;50
A3605,txt;36;2913,43;5;Recuit simule;934,04;5;10000;832;1979,4;0.7;50
A3705,txt;37;2848,13;5;Recuit simule;798,19;6;10000;880;2049,93;0.7;50
A3706,txt;37;2405,14;6;Recuit simule;884,13;7;10000;932;1521,01;0.7;50
A3805,txt;38;2703,3;5;Recuit simule;1044,06;5;10000;861;1659,24;0.7;50
A3905,txt;39;2656,85;5;Recuit simule;950,88;5;10000;907;1705,96;0.7;50
A3906,txt;39;2820,08;6;Recuit simule;924,7;6;10000;925;1895,38;0.7;50
A4406,txt;44;3510,66;6;Recuit simule;1215,38;6;10000;971;2295,28;0.7;50
A4506,txt;45;3599,0;6;Recuit simule;1256,91;6;10000;992;2342,09;0.7;50
A4507,txt;45;3847,36;7;Recuit simule;1295,06;7;10000;1042;2552,3;0.7;50
A4607,txt;46;2948,14;7;Recuit simule;1146,69;7;10000;1091;1801,45;0.7;50
A5307,txt;53;3543,52;7;Recuit simule;1240,95;7;10000;1149;2302,57;0.7;50
A5407,txt;54;4404,26;7;Recuit simule;1341,58;8;10000;1178;3062,68;0.7;50
A5509,txt;55;4057,3;9;Recuit simule;1499,58;9;10000;1214;2557,73;0.7;50
A6009,txt;60;4110,19;9;Recuit simule;1283,0;9;10000;1312;2827,19;0.7;50
A6109,txt;61;4853,45;9;Recuit simule;1545,82;10;10000;1332;3307,62;0.7;50
A6208,txt;62;4805,77;8;Recuit simule;1430,87;10;10000;1355;3374,9;0.7;50
A6310,txt;63;4210,07;10;Recuit simule;1357,57;11;10000;1455;2852,5;0.7;50
A6409,txt;64;3661,37;9;Recuit simule;1227,21;10;10000;1429;2434,16;0.7;50
A6509,txt;65;5810,98;9;Recuit simule;1659,27;9;10000;1335;4151,71;0.7;50
A6909,txt;69;5185,2;9;Recuit simule;1462,98;10;10000;1431;3722,22;0.7;50
A8010,txt;80;4901,75;10;Recuit simule;1383,89;11;10000;1609;3517,86;0.7;50
c101,txt;101;6581,25;10;Recuit simule;1259,54;11;10000;1859;5321,71;0.7;50
c201,txt;101;7171,67;10;Recuit simule;1604,29;11;10000;1868;5567,38;0.7;50
r101,txt;101;5778,03;8;Recuit simule;1307,77;9;10000;1812;4470,26;0.7;50
