Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;3066,31;5;Tabou;899,33;5;1000;818;2166,98;30
A3305,txt;33;2480,16;5;Tabou;833,72;6;1000;1541;1646,44;30
A3306,txt;33;2658,95;6;Tabou;911,73;6;1000;991;1747,22;30
A3405,txt;34;2988,28;5;Tabou;1066,47;7;1000;1601;1921,81;30
A3605,txt;36;2402,8;5;Tabou;815,07;5;1000;1387;1587,73;30
A3705,txt;37;3165,53;5;Tabou;831,34;6;1000;1777;2334,19;30
A3706,txt;37;3508,64;6;Tabou;1045,02;7;1000;1234;2463,63;30
A3805,txt;38;3156,16;5;Tabou;1029,88;6;1000;1772;2126,28;30
A3905,txt;39;2741,07;5;Tabou;922,31;7;1000;2376;1818,76;30
A3906,txt;39;3495,08;6;Tabou;1195,9;6;1000;1373;2299,19;30
A4406,txt;44;2877,64;6;Tabou;1177,01;6;1000;1664;1700,63;30
A4506,txt;45;2988,41;6;Tabou;1243,27;8;1000;2692;1745,14;30
A4507,txt;45;3366,4;7;Tabou;1028,77;9;1000;2544;2337,63;30
A4607,txt;46;3395,5;7;Tabou;1222,73;7;1000;1881;2172,77;30
A5307,txt;53;4504,42;7;Tabou;1165,24;8;1000;4671;3339,18;30
A5407,txt;54;4467,49;7;Tabou;1472,22;8;1000;3526;2995,27;30
A5509,txt;55;4362,94;9;Tabou;1419,19;9;1000;3115;2943,75;30
A6009,txt;60;4153,82;9;Tabou;1225,75;10;1000;4442;2928,06;30
A6109,txt;61;4773,82;9;Tabou;1639,27;9;1000;2735;3134,54;30
A6208,txt;62;4824,1;8;Tabou;1473,32;9;1000;4912;3350,78;30
A6310,txt;63;5548,7;10;Tabou;1765,48;10;1000;4322;3783,22;30
A6409,txt;64;4640,38;9;Tabou;1471,79;10;1000;4673;3168,59;30
A6509,txt;65;4759,67;9;Tabou;1291,61;11;1000;5032;3468,06;30
A6909,txt;69;5578,12;9;Tabou;1605,49;9;1000;5792;3972,64;30
A8010,txt;80;5180,95;10;Tabou;1428,23;13;1000;13354;3752,72;30
c101,txt;101;7001,02;10;Tabou;1482,43;12;1000;23089;5518,6;30
c201,txt;101;6671,47;10;Tabou;1368,37;11;1000;19889;5303,1;30
r101,txt;101;4972,22;8;Tabou;1068,3;9;1000;28839;3903,92;30
