i;x;y;q
0;27;93;0
1;33;27;16
2;29;39;2
3;7;81;7
4;1;59;11
5;49;9;9
6;21;53;17
7;79;89;21
8;81;83;23
9;85;11;10
10;45;9;6
11;7;65;19
12;95;27;18
13;81;85;20
14;37;81;13
15;69;69;5
16;15;95;11
17;89;75;24
18;33;93;2
19;57;83;3
20;11;95;1
21;3;57;5
22;45;11;20
23;43;61;23
24;35;43;24
25;19;83;18
26;83;69;19
27;85;77;2
28;19;39;17
29;83;87;17
30;1;13;9
31;15;39;11
32;83;17;2
33;41;97;6
34;31;61;9
35;59;69;5
36;29;15;9
37;93;83;2
38;63;97;14
39;65;57;19
40;15;69;11
41;31;97;21
42;57;9;20
43;85;37;21
44;21;29;18
45;53;11;48
46;15;77;1
47;41;69;17
48;45;17;42
49;13;25;2
50;63;57;4
51;95;5;24
52;55;91;18
53;3;31;21
54;47;7;11
55;61;69;9
56;85;35;18
57;89;81;22
58;45;47;9
59;65;93;23
