i;x;y;q
0;35;35;0
1;41;49;5
2;35;17;3
3;55;45;6
4;55;20;9
5;15;30;13
6;25;30;1
7;20;50;2
8;10;43;4
9;55;60;8
10;30;60;8
11;20;65;6
12;50;35;9
13;30;25;11
14;15;10;10
15;30;5;4
16;10;20;9
17;5;30;1
18;20;40;6
19;15;60;8
20;45;65;4
21;45;20;5
22;45;10;9
23;55;5;14
24;65;35;1
25;65;20;3
26;45;30;8
27;35;40;8
28;41;37;8
29;64;42;4
30;40;60;10
31;31;52;13
32;35;69;11
33;53;52;5
34;65;55;7
35;63;65;4
36;2;60;2
37;20;20;4
38;5;5;8
39;60;12;15
40;40;25;4
41;42;7;2
42;24;12;2
43;23;3;3
44;11;14;9
45;6;38;8
46;2;48;0
47;8;56;13
48;13;52;18
49;6;68;15
50;47;47;6
51;49;58;5
52;27;43;4
53;37;31;7
54;57;29;9
55;63;23;1
56;53;12;3
57;32;12;3
58;36;26;9
59;21;24;14
60;17;34;1
61;12;24;6
62;24;58;9
63;27;69;5
64;15;77;4
65;62;77;10
66;49;73;12
67;67;5;12
68;56;39;18
69;37;47;3
70;37;56;2
71;57;68;7
72;47;16;12
73;44;17;4
74;46;13;4
75;49;11;9
76;49;42;6
77;53;43;7
78;61;52;1
79;57;48;11
80;56;37;3
81;55;54;13
82;15;47;8
83;14;37;5
84;11;31;3
85;16;22;20
86;4;18;17
87;28;18;13
88;26;52;4
89;26;35;7
90;31;67;1
91;15;19;0
92;22;22;1
93;18;24;11
94;26;27;13
95;25;24;10
96;22;27;5
97;25;21;6
98;19;21;5
99;20;26;4
100;18;18;8
